SC - Cases Quality Review - Feb,,,,,,,
,,,,,,,
Generated By:,,,,,,,
?Elena Bennett,,,,,,,
?Thomson Reuters,,,,,,,
?3/6/2015 1:09 PM,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Filtered By:,,,,,,,
???,Date Field: Closed Date equals Custom (2/1/2015 to 2/28/2015),,,,,,
???,Show: All cases,,,,,,
???,Units: Hours,,,,,,
???,Status?not equal to?Cancelled?,,,,,,
???,"AND Case Owner Role?starts with?TSG_INV,TSG_DESK,TSG_MKTP?",,,,,,
Sorted By:,,,,,,,
???,Case Owner Role: Case Owner Role - Sorted ascending,,,,,,
???,Case Owner: Case Owner - Sorted ascending,,,,,,
Case Number,Case Product Name,Case Origin,Date/Time Opened,Date/Time Closed,Region,Billing Country,Case Record Type
Case Owner Role: TSG_DESK_HUB_GLO (287 records),,,,,,,
,,,,,,,
????Case Owner: Adam Moore (15 records),,,,,,,
,,,,,,,
3565971,Thomson Reuters Eikon for Commodities,Phone,2015/1/21 17:29,2015/2/2 13:54,Americas,United States,Service Cloud Case (Read Only)
2614116,-,-,2014/2/6 10:13,2015/2/3 7:37,Americas,United States,Siebel Service Request
3597165,Thomson Reuters Eikon with Datastream for Office,Phone,2015/2/3 12:40,2015/2/4 10:28,Europe,United Kingdom,Service Cloud Case (Read Only)
3593543,Thomson Reuters Eikon for North America Fixed Income,Phone,2015/2/2 10:38,2015/2/5 11:24,Americas,United States,Service Cloud Case (Read Only)
3532588,Thomson Reuters Eikon,Phone,2015/1/7 11:58,2015/2/6 10:19,Americas,United States,Service Cloud Case (Read Only)
3602589,Thomson Reuters Eikon for Commodities,Contact Us,2015/2/5 8:20,2015/2/6 10:43,Americas,United States,Service Cloud Case (Read Only)
3604102,Thomson Reuters Eikon,Phone,2015/2/5 16:50,2015/2/9 10:59,Asia,Australia,Service Cloud Case (Read Only)
3616716,Thomson Reuters Eikon,Phone,2015/2/11 12:41,2015/2/13 10:30,Americas,United States,Service Cloud Case (Read Only)
